DATE,CPI,M1SL,PLR,DEBT,REL,RFS
1/1/2010,217.488,1674.7,3.25,12.77,3761.3275,159109
1/2/2010,217.281,1699.8,3.25,12.77,3725.816575,159625
1/3/2010,217.353,1711.9,3.25,12.77,3704.84772,163034
1/4/2010,217.403,1699,3.25,13.2,3714.620775,164423
1/5/2010,217.29,1710.1,3.25,13.2,3702.69925,163033
1/6/2010,217.199,1731.6,3.25,13.2,3683.79558,162876
1/7/2010,217.605,1724,3.25,13.56,3662.185325,163068
1/8/2010,217.923,1748.7,3.25,13.56,3654.871275,163640
1/9/2010,218.275,1766.2,3.25,13.56,3645.04856,164767
1/10/2010,219.035,1780.4,3.25,14.03,3625.97295,165990
1/11/2010,219.59,1828.4,3.25,14.03,3624.9155,167220
1/12/2010,220.472,1836.7,3.25,14.03,3615.96032,167472
1/1/2011,221.187,1846.3,3.25,14.27,3606.068525,168195
1/2/2011,221.898,1870.1,3.25,14.27,3576.58945,169025
1/3/2011,223.046,1896.5,3.25,14.27,3542.70588,169730
1/4/2011,224.093,1897,3.25,14.34,3522.309825,169723
1/5/2011,224.806,1941.6,3.25,14.34,3509.625375,169132
1/6/2011,224.806,1963.4,3.25,14.34,3503.23394,170515
1/7/2011,225.395,1996,3.25,14.79,3497.83665,169904
1/8/2011,226.106,2115.4,3.25,14.79,3492.27654,169761
1/9/2011,226.597,2120,3.25,14.79,3488.3134,171122
1/10/2011,226.75,2128.5,3.25,15.22,3496.462075,172041
1/11/2011,227.169,2182,3.25,15.22,3504.59168,172292
1/12/2011,227.223,2165.7,3.25,15.22,3493.42385,172335
1/1/2012,227.842,2201.8,3.25,15.61,3504.9429,173647
1/2/2012,228.329,2207.1,3.25,15.61,3539.85412,175354
1/3/2012,228.807,2227.8,3.25,15.61,3545.556825,175543
1/4/2012,229.187,2237.3,3.25,15.86,3539.81965,174633
1/5/2012,228.713,2256.2,3.25,15.86,3539.88328,174615
1/6/2012,228.524,2275.3,3.25,15.86,3530.715475,173090
1/7/2012,228.59,2315,3.25,16.07,3524.499125,173958
1/8/2012,229.918,2354.1,3.25,16.07,3526.17808,174970
1/9/2012,231.015,2386.6,3.25,16.07,3530.0838,175510
1/10/2012,231.638,2420.1,3.25,16.43,3526.58466,175089
1/11/2012,231.249,2441.2,3.25,16.43,3556.5487,176168
1/12/2012,231.221,2460.7,3.25,16.43,3547.85065,176879
1/1/2013,231.679,2475.5,3.25,16.77,3560.61888,178014
1/2/2013,232.937,2470.6,3.25,16.77,3554.2058,179183
1/3/2013,232.282,2477.5,3.25,16.77,3548.470475,178282
1/4/2013,231.797,2507.1,3.25,16.74,3553.5487,177748
1/5/2013,231.893,2527.9,3.25,16.74,3546.97082,178732
1/6/2013,232.445,2528.3,3.25,16.74,3546.530375,178773
1/7/2013,232.9,2544.5,3.25,16.74,3537.15504,179691
1/8/2013,233.456,2555.9,3.25,16.74,3527.15825,178867
1/9/2013,233.544,2584.8,3.25,16.74,3527.1863,178922
1/10/2013,233.669,2623.6,3.25,17.16,3523.9209,179499
1/11/2013,234.1,2634.6,3.25,17.16,3529.70105,179704
1/12/2013,234.719,2664.3,3.25,17.16,3530.820625,180196
1/1/2014,235.288,2698.9,3.25,17.6,3535.1277,178184
1/2/2014,235.547,2724.7,3.25,17.6,3545.005875,180434
1/3/2014,236.028,2751.4,3.25,17.6,3559.084225,181956
1/4/2014,236.468,2773.2,3.25,17.63,3573.20706,183385
1/5/2014,236.918,2791.3,3.25,17.63,3580.91675,183385
1/6/2014,237.231,2827.1,3.25,17.63,3597.92105,183609
1/7/2014,237.498,2843,3.25,17.82,3604.49596,183727
1/8/2014,237.46,2804.2,3.25,17.82,3615.27095,185124
1/9/2014,237.477,2865.2,3.25,17.82,3619.418075,184719
1/10/2014,237.43,2870.7,3.25,18.14,3620.15042,185428
1/11/2014,236.983,2888.8,3.25,18.14,3626.3275,186228
1/12/2014,236.252,2940.9,3.25,18.14,3637.6308,185686
1/1/2015,234.747,2941.3,3.25,18.15,3653.176175,185900
1/2/2015,235.342,3005.4,3.25,18.15,3672.247525,185154
1/3/2015,235.976,2998.4,3.25,18.15,3706.4563,187363
1/4/2015,236.222,2999.2,3.25,18.15,3720.43936,187586
1/5/2015,237.001,2981.9,3.25,18.15,3727.9023,188268
1/6/2015,237.657,3020.9,3.25,18.15,3746.914325,187978
1/7/2015,238.034,3040.9,3.25,18.15,3761.06638,189151
1/8/2015,238.033,3029,3.25,18.15,3775.879925,189126
1/9/2015,237.498,3047,3.25,18.15,3793.17246,188846
1/10/2015,237.733,3018.8,3.25,18.92,3809.860225,188106
1/11/2015,238.017,3082.3,3.25,18.92,3844.982925,188653
1/12/2015,237.761,3095.8,3.363636364,18.92,3868.5034,189661
1/1/2016,237.652,3096.9,3.5,19.26,3888.764525,188354
1/2/2016,237.336,3128.8,3.5,19.26,3912.7449,190613
1/3/2016,238.08,3154,3.5,19.26,3941.25726,189384
1/4/2016,238.992,3198.5,3.5,19.38,3958.564775,189272
1/5/2016,239.557,3237.6,3.5,19.38,3983.477775,189605
1/6/2016,240.222,3246.1,3.5,19.38,4005.89782,191085
1/7/2016,240.101,3246,3.5,19.57,4030.064075,190743
1/8/2016,240.545,3319.3,3.5,19.57,4053.10822,190673
1/9/2016,241.176,3327.7,3.5,19.57,4073.135725,191454
1/10/2016,241.741,3333.4,3.5,19.98,4095.03835,191366
1/11/2016,242.026,3355,3.5,19.98,4108.7376,190969
1/12/2016,242.637,3340.9,3.630952381,19.98,4113.692825,193121
1/1/2017,243.618,3391.2,3.75,19.85,4131.3111,194317
1/2/2017,244.006,3402.7,3.75,19.85,4141.9027,194036
1/3/2017,243.892,3450.5,3.880434783,19.85,4149.73982,193644
1/4/2017,244.193,3451.2,4,19.84,4166.379175,194165
1/5/2017,244.004,3516.1,4,19.84,4183.33096,193344
1/6/2017,244.163,3524.9,4.136363636,19.84,4195.6828,193992
1/7/2017,244.243,3548.6,4.25,20.24,4212.801425,193920
1/8/2017,245.183,3587.8,4.25,20.24,4223.67986,193547
1/9/2017,246.435,3571.2,4.25,20.24,4228.338575,196499
1/10/2017,246.626,3606.3,4.25,20.49,4250.76165,196605
1/11/2017,247.284,3631,4.25,20.49,4268.58912,198105
1/12/2017,247.805,3610.6,4.3875,20.49,4283.7803,199081
1/1/2018,248.743,3656.2,4.5,21.09,4299.87682,197400
1/2/2018,249.439,3619,4.5,21.09,4315.51335,198143
1/3/2018,249.581,3663.4,4.579545455,21.09,4324.71115,197745
1/4/2018,250.146,3655.2,4.75,21.2,4338.279625,197695
1/5/2018,250.779,3650.8,4.75,21.2,4338.855,199636
1/6/2018,251.118,3652.2,4.892857143,21.2,4351.46,198837
1/7/2018,251.323,3677.5,5,21.52,4361.701775,200067
1/8/2018,251.749,3693.2,5,21.52,4363.33802,199673
1/9/2018,252.239,3701.8,5.026315789,21.52,4381.59085,198475
1/10/2018,252.862,3728.2,5.25,21.97,4393.1478,200167
1/11/2018,252.657,3705.6,5.25,21.97,4398.8631,200829
1/12/2018,252.551,3763.4,5.3375,21.97,4405.9428,197152
1/1/2019,252.47,3754.8,5.5,22.03,4423.12338,198365
1/2/2019,253.135,3762.9,5.5,22.03,4437.088975,198576
1/3/2019,254.273,3733.6,5.5,22.03,4449.159025,200452
1/4/2019,255.163,3775,5.5,22.02,4461.89645,199978
1/5/2019,255.325,3783.2,5.5,22.02,4486.03944,200902
1/6/2019,255.361,3824.4,5.5,22.02,4499.172075,201323
1/7/2019,255.9,3856.8,5.5,22.72,4505.14184,202855
1/8/2019,256.179,3858.9,5.25,22.72,4513.289875,203530
1/9/2019,256.596,3900,5.15,22.72,4523.792575,201845
1/10/2019,257.305,3935.3,4.988636364,23.2,4542.59988,201956
1/11/2019,257.788,3955.3,4.75,23.2,4569.06415,202393
1/12/2019,258.263,4007.1,4.75,23.2,4603.988725,203353
1/1/2020,258.682,3993.6,4.75,23.22,4620.29836,202312
1/2/2020,259.007,4002.9,4.75,23.22,4636.376875,202962
1/3/2020,258.165,4261.9,3.75,23.22,4658.195775,186015
1/4/2020,256.094,4779.8,3.25,26.48,4683.06772,158937
1/5/2020,255.944,16232.9,3.25,26.48,4678.81485,188795
1/6/2020,257.217,16563.5,3.25,26.48,4672.611425,204327
1/7/2020,258.543,16763.8,3.25,26.95,4685.21752,207562
1/8/2020,259.58,16896.7,3.25,26.95,4681.894025,208194
1/9/2020,260.19,17161.5,3.25,26.95,4672.3546,212234
1/10/2020,260.352,17365.3,3.25,27.75,4663.45915,211325
1/11/2020,260.721,17626.7,3.25,27.75,4651.32205,208515
1/12/2020,261.564,17834.4,3.25,27.75,4638.89146,207202
1/1/2021,262.2,18106.9,3.25,28.13,4660.64715,218093
1/2/2021,263.346,18367.4,3.25,28.13,4655.466125,213431
1/3/2021,265.028,18641.3,3.25,28.13,4649.09788,236202
1/4/2021,266.727,18927.5,3.25,28.53,4648.545075,234659
1/5/2021,268.599,19259.6,3.25,28.53,4641.7928,232049
1/6/2021,270.955,19319.6,3.25,28.53,4651.18558,232438
1/7/2021,272.184,19492,3.25,28.43,4661.642775,227776
1/8/2021,273.092,19728.7,3.25,28.43,4685.8796,229033
1/9/2021,274.214,19872.5,3.25,28.43,4702.43258,230474
1/10/2021,276.59,20063.5,3.25,29.617215,4722.846375,231636
1/11/2021,278.524,20279.7,3.25,29.617215,4748.913875,231829
1/12/2021,280.126,20430.6,3.25,29.617215,4783.50056,227591
